,Ticker,Num_Days,Num_Chunks,Cutoff,Strategy,Buy_and_hold
0,AMZN,360,1,-5,3.44,3.44
1,AMZN,360,1,-4,3.44,3.44
2,AMZN,360,1,-3,3.44,3.44
3,AMZN,360,1,-2,3.44,3.44
4,AMZN,360,1,-1,3.44,3.44
5,AMZN,360,2,-5,14.09,3.44
6,AMZN,360,2,-4,14.09,3.44
7,AMZN,360,2,-3,18.44,3.44
8,AMZN,360,2,-2,19.61,3.44
9,AMZN,360,2,-1,51.51,3.44
10,AMZN,360,3,-5,9.39,3.44
11,AMZN,360,3,-4,9.39,3.44
12,AMZN,360,3,-3,12.29,3.44
13,AMZN,360,3,-2,13.07,3.44
14,AMZN,360,3,-1,34.34,3.44
15,AMZN,360,4,-5,7.04,3.44
16,AMZN,360,4,-4,7.04,3.44
17,AMZN,360,4,-3,9.22,3.44
18,AMZN,360,4,-2,9.8,3.44
19,AMZN,360,4,-1,25.76,3.44
20,AMZN,360,5,-5,5.63,3.44
21,AMZN,360,5,-4,5.63,3.44
22,AMZN,360,5,-3,7.38,3.44
23,AMZN,360,5,-2,7.84,3.44
24,AMZN,360,5,-1,20.61,3.44
25,AMZN,360,6,-5,4.7,3.44
26,AMZN,360,6,-4,4.7,3.44
27,AMZN,360,6,-3,6.15,3.44
28,AMZN,360,6,-2,6.54,3.44
29,AMZN,360,6,-1,17.17,3.44
30,AMZN,360,7,-5,4.02,3.44
31,AMZN,360,7,-4,4.02,3.44
32,AMZN,360,7,-3,5.27,3.44
33,AMZN,360,7,-2,5.6,3.44
34,AMZN,360,7,-1,14.72,3.44
35,AMZN,360,8,-5,3.52,3.44
36,AMZN,360,8,-4,3.52,3.44
37,AMZN,360,8,-3,4.61,3.44
38,AMZN,360,8,-2,4.9,3.44
39,AMZN,360,8,-1,12.88,3.44
40,AMZN,360,9,-5,3.13,3.44
41,AMZN,360,9,-4,3.13,3.44
42,AMZN,360,9,-3,4.1,3.44
43,AMZN,360,9,-2,4.36,3.44
44,AMZN,360,9,-1,11.45,3.44
45,AMZN,720,1,-5,-22.47,-22.47
46,AMZN,720,1,-4,-22.47,-22.47
47,AMZN,720,1,-3,-22.47,-22.47
48,AMZN,720,1,-2,-22.47,-22.47
49,AMZN,720,1,-1,-22.47,-22.47
50,AMZN,720,2,-5,11.22,-22.47
51,AMZN,720,2,-4,11.3,-22.47
52,AMZN,720,2,-3,13.97,-22.47
53,AMZN,720,2,-2,14.73,-22.47
54,AMZN,720,2,-1,46.69,-22.47
